ID,Name,Description,ColumnSpec,Semantic_Field,Ontological_Category,Replacement_ID
948,WATER,"Common liquid (H₂O) which forms rain, rivers, the sea, etc., and which makes up a large part of the bodies of organisms.",,The physical world,Person/Thing,
949,WATER LEECH,A worm-like creature that lives in water and sucks blood from animals.,,Animals,Person/Thing,
950,SEAGULL,A seabird of the genus Larus or of the family Laridae.,,Animals,Person/Thing,
951,WEAPONS,"An instrument of attack or defense in combat, as a gun, missile, or sword.",,Warfare and hunting,Person/Thing,
952,WEATHER,"The day-to-day meteorological conditions, especially temperature, cloudiness, and rainfall, affecting a specific place.",,The physical world,Person/Thing,
953,RAPE,The act of forcing sexual intercourse or other sexual activity upon another person against their will.,,Law,Person/Thing,
954,WELL,"A hole dug into the earth to reach a supply of water, oil, brine or gas.",,The physical world,Person/Thing,
955,GREASY,Smeared or soiled with grease or oil.,,Food and drink,Property,
956,FLEE,Leaving a dangerous or unpleasant situation.,,Motion,Action/Process,
957,WHALE,"Large marine mammals of the order Cetacea; the body is streamlined, the broad flat tail is used for propulsion, and the limbs are balancing structures.",,Animals,Person/Thing,
958,WILD ANIMAL,A non-domesticated animal living independently of man.,,Animals,Person/Thing,
959,WAGON,"A wheeled vehicle, generally drawn by horse power.",,Motion,Person/Thing,122
960,WIND,"The motion of air relative to the earth's surface; usually means horizontal air motion, as distinguished from vertical motion.",,The physical world,Person/Thing,
961,PEBBLES,Small stone abraded by water.,,The physical world,Person/Thing,
962,WOMAN,An adult human member of the sex that produces ova and bears young.,,Kinship,Person/Thing,
963,BOOK,"A collection of leaves of paper, parchment or other material, usually bound or fastened together within covers, containing writing of any type or blank pages for future inscription.",,Speech and language,Person/Thing,
964,WOOL,"The soft, curly hair that forms the fleece of sheep, lamas and other animals and which is used to produce clothing.",,Clothing and grooming,Person/Thing,
965,WORLD,The Earth with all its inhabitants and all things upon it.,,The physical world,Person/Thing,
966,BRAKE,Decelerate using a mechanical device.,,Modern world,Action/Process,
967,YEAST,"Many species of unicellular fungi, most of which belong to the Ascomycetes and reproduce by budding. The genus Saccharomyces is used in brewing and winemaking because in low oxygen concentration it produces zymase, an enzyme system that breaks down sugars to alcohol and carbon dioxide. Saccharomyces is also used in bread-making. Some yeasts are used as a source of protein and of vitamins of the B group. (Source: ALL)",,Food and drink,Person/Thing,
968,ACORN,Fruit of the oak tree.,,Agriculture and vegetation,Person/Thing,
969,CIGARETTE,"A product manufactured out of cured and finely cut leaves, which are rolled or stuffed into a paper-wrapped cylinder for smoking.",,Modern world,Person/Thing,
970,COCONUT,The large hard-shelled oval nut with a fibrous husk of the cocos palm.,,Agriculture and vegetation,Person/Thing,
971,MUST,To be required to do something.,,Basic actions and technology,Action/Process,
972,BE ABLE,To have the ability to do something.,,Basic actions and technology,Action/Process,
973,NOODLE,"A string or strip of pasta, especially as used in Chinese and Italian cookery.",,Food and drink,Person/Thing,
974,TOBACCO,"Leaves of certain varieties of the tobacco plant, cultivated and harvested to make cigarettes, cigars, snuff, for smoking in pipes or for chewing.",,Agriculture and vegetation,Person/Thing,
975,SPINACH,"An important leaf vegetable, grown throughout the temperate regions of the world.",,Food and drink,Person/Thing,
976,WEAR,Fix clothes on your body and carry them.,,Clothing and grooming,Action/Process,
977,ARROW,Pointed projectile that is shot with a bow.,,Warfare and hunting,Person/Thing,
978,WAVE,A disturbance in an fluid medium.,,The physical world,Person/Thing,
979,FARMER,"A person who works the land or who keeps livestock, especially on a farm.",,Agriculture and vegetation,Person/Thing,
980,HEEL,The part of the human foot on the backside where it becomes the leg.,,The body,Person/Thing,
981,ELBOW,The joint between arm and forearm.,,The body,Person/Thing,
982,LIME (FRUIT),A green citrus fruit.,,Agriculture and vegetation,Person/Thing,
983,CONVICT,To find guilty of a crime as a result of legal proceedings.,,Law,Action/Process,
984,WORK (LABOUR),"Productive activity, service, trade, or craft for which one is regularly paid.",,Basic actions and technology,Person/Thing,
985,VINEGAR,A sour liquid formed by the fermentation of alcohol with acetic acid bacteria used as a condiment or preservative.,,Food and drink,Person/Thing,
986,TOMATO,"The savoury fruit of the Solanum lycopersicum, red when ripe.",,Food and drink,Person/Thing,
987,REMAIN,To continue to be in the same place or state.,,Spatial relations,Action/Process,
988,ACQUIT,To pronounce not guilty of criminal charges.,,Law,Action/Process,
989,CLEAR,Free of ambiguity or doubt.,,Cognition,Property,
990,CREEK (TIDAL),"A narrow inlet or bay, especially of the sea.",,The physical world,Person/Thing,
991,FRY,To cook in hot fat.,,Food and drink,Action/Process,
992,CLIFF,"A steep coastal declivity which may or may not be precipitous, the slope angle being dependent partly on the jointing, bedding and hardness of the materials from which the cliff has been formed, and partly on the erosional processes at work.(Source: WHIT)",,The physical world,Person/Thing,
993,RIVER BED,The channel containing or formerly containing the water of a river.,,The physical world,Person/Thing,
994,BOW,"A weapon made of a curved piece of wood or other flexible material whose ends are connected by a string, used for shooting arrows.",,Warfare and hunting,Person/Thing,
995,QUIVER (FOR ARROWS),"A container for arrows, crossbow bolts or darts, such as those fired from a bow, crossbow or blowgun.",,Warfare and hunting,Person/Thing,
996,DEAF,"Not having the faculty of hearing, or only having a restricted capability to hear.",,The body,Property,
997,BAOBAB TREE,"Genus of big trees (Adansonia) from the mallow family, growing in tropical countries.",,Agriculture and vegetation,Person/Thing,
998,PUT,To set or place an object somewhere.,,Spatial relations,Action/Process,
999,JOINT,Any part of the body where two bones join.,,The body,Person/Thing,
1000,ANXIETY,"An unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath.",,Emotions and values,Person/Thing,
1001,BLACKSMITH,A craftsman expert in iron and other metals work.,,Basic actions and technology,Person/Thing,
1002,STATUE,"A three-dimension work of art, usually of a person or animal, usually created by sculpting, carving, moulding, or casting.",,Basic actions and technology,Person/Thing,
1003,PERMIT,To give permission to an action.,,Social and political relations,Action/Process,
1004,MUSCLE,An organ formed by contractile tissue that moves other organs.,,The body,Person/Thing,
1005,TWINS,A case of multiple birth in which the mother gives birth to two offspring from the same pregnancy.,,Kinship,Person/Thing,
1006,BRICK,"A building material usually made from clay, molded as a rectangular block, and baked or burned in a kiln.",,The house,Person/Thing,
1007,COW,Female bovine animal (Bos taurus) of the subfamily Bovinae of the family Bovidae.,,Animals,Person/Thing,
1008,BULL,Male bovine animal.,,Animals,Person/Thing,
1009,CHESTNUT TREE,"Any north temperate fagaceous tree of the genus Castanea, such as Castanea sativa, which produce flowers in long catkins and nuts in a prickly bur.",,Agriculture and vegetation,Person/Thing,
1010,BOUNDARY,The dividing line or location between two areas.,,Social and political relations,Person/Thing,
1011,BRIDGE,"A structure that spans and provides a passage over a road, railway, river, or some other obstacle.",,Motion,Person/Thing,
1012,LATCH,"A fastening for a door that has a bar that fits into a notch or slot, and is lifted by a lever or string from either side.",,The house,Person/Thing,
1013,FRESHWATER EEL,"A snake-like edible fish, which lives in freshwater.",,Animals,Person/Thing,
1014,OR,[Conjunction that indicates an alternative.],,Cognition,Other,
1015,SOIL,To make filthy.,,The physical world,Action/Process,
1016,DRIZZLE,"Fine, light rain.",,The physical world,Person/Thing,
1017,APPEARANCE,The outward or visible aspect of a person or thing.,,The body,Person/Thing,
1018,MEMORY,The ability of an organism to record information combined with the facility of recall.,,Cognition,Person/Thing,
1019,RIGHT,Something that is on the right side relative to another object.,,Spatial relations,Property,
1020,HANDKERCHIEF,"A piece of cloth, usually square and often fine and elegant, carried for wiping the face, nose or hands.",,Clothing and grooming,Person/Thing,
1021,TOWEL,Piece of absorbent fabric or paper used for drying or wiping.,,Clothing and grooming,Person/Thing,
1022,BOOTY,"Profits from burglary, looting and raids.",,Warfare and hunting,Person/Thing,
1023,STUMP OF TREE,The short piece left over after cutting off the most part.,,Agriculture and vegetation,Person/Thing,241
1024,CHARACTER,A symbol used to represent a sound or a word.,,Speech and language,Person/Thing,
1025,WHISTLE,To make a sound or a melody by forcing the breath out between closed lips.,,Speech and language,Action/Process,
1026,LOW TIDE,the tide at the point of maximum ebb.,,The physical world,Person/Thing,
1027,BUG,"Any of the suborder Heteroptera, having piercing and sucking mouthparts, specialized as a beak. (Source: CED)",,Animals,Person/Thing,
